NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT02884362,Prospective Melanoma Database,Recruiting,No Results Available,Other: clinical biological data collection on melanoma,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02884362
NCT01153763,A Study of GSK2118436 in BRAF Mutant Metastatic Melanoma,Completed,Has Results,Drug: GSK2118436,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01153763
NCT01597908,Dabrafenib Plus Trametinib vs Vemurafenib Alone in Unresectable or Metastatic BRAF V600E/K Cutaneous Melanoma,"Active, not recruiting",Has Results,Drug: Dabrafenib|Drug: Vemurafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01597908
NCT01894672,"BRAF Inhibitor, LGX818, Utilizing a Pulsatile Schedule in Patients With Stage IV or Unresectable Stage III Melanoma Characterized by a BRAFV600 Mutation",Completed,Has Results,Drug: LGX818,male,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01894672
NCT01682213,Adjuvant Dabrafenib (GSK2118436) in Patients With Surgically Resected AJCC Stage IIIC Melanoma Characterized by a BRAFV600E/K Mutation,"Active, not recruiting",No Results Available,Drug: Dabrafenib,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01682213
NCT01898585,An Open-Label Study of Zelboraf (Vemurafenib) in Patients With Braf V600 Mutation Positive Metastatic Melanoma,"Active, not recruiting",No Results Available,Drug: Zelboraf,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01898585
NCT03553329,Study of the Variations of Albumin Level for Patients With Unresecable Stage IIIc or Stage IV Melanoma Treated by Anti BRAF and Anti MEK,Completed,No Results Available,Drug: dabrafenib,All,"18 Years to 100 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03553329
NCT02130466,A Study of the Safety and Efficacy of Pembrolizumab (MK-3475) in Combination With Trametinib and Dabrafenib in Participants With Advanced Melanoma (MK-3475-022/KEYNOTE-022),Recruiting,No Results Available,Biological: Pembrolizumab|Drug: Dabrafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02130466
NCT03514901,To Evaluate the Efficacy Beyond Progression of Vemurafenib+Cobimetinib Associated With Local Treatment Compared to Second-line Treatment in Patients With BRAFV600+ Metastatic Melanoma in Focal Progression With First-line+Vemurafenib+Cobimetinib.,Not yet recruiting,No Results Available,Other: Experimental combination beyond Focal Progression|Drug: Pembrolizumab or Nivolumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03514901
NCT01726738,LCCC 1128: Open Label Phase II Trial of the BRAF Inhibitor (Dabrafenib) and the MEK Inhibitor (Trametinib) in Unresectable Stage III and Stage IV BRAF Mutant Melanoma; Correlation of Resistance With the Kinome and Functional Mutations,Completed,No Results Available,Drug: BRAF inhibitor dabrafenib and MEK inhibitor trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01726738
