NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT02884362,Prospective Melanoma Database,Recruiting,No Results Available,Other: clinical biological data collection on melanoma,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02884362
NCT03455764,MCS110 With BRAF/MEK Inhibition in Patients With Melanoma,Recruiting,No Results Available,Drug: MCS110|Drug: Dabrafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03455764
NCT03101254,LY3022855 With BRAF/MEK Inhibition in Patients With Melanoma,Recruiting,No Results Available,Drug: LY3022855|Drug: Vemurafenib|Drug: Cobimetinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03101254
NCT03272464,INCB039110 in Combination With Dabrafenib and Trametinib in Patients With BRAF-mutant Melanoma and Other Solid Tumors.,Recruiting,No Results Available,Drug: Trametinib|Drug: Dabrafenib|Drug: INCB039110,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03272464
NCT02915666,A Clinical Trial of Patients With Melanoma,Withdrawn,No Results Available,Drug: Digoxin Combination|Drug: Dabrafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02915666
NCT03784625,Targeted Radionuclide Therapy for Metastatic Melanoma [131I] ICF 01012,Not yet recruiting,No Results Available,Drug: [131I]ICF01012 (therapeutic dose level 1)|Drug: [131I]ICF01012 (therapeutic dose level 2)|Drug: [131I]ICF01012 (therapeutic dose level 3)|Drug: [131I]ICF01012 (therapeutic dose level 4),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03784625
NCT03435302,HDI Versus Chemotherapy as Systemic Adjuvant Therapy for Resected Mucosal Melanoma,Recruiting,No Results Available,Drug: Temozolomide Plus Cisplatin|Drug: High-Dose IFN-a2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03435302
NCT03301636,A Study of Indoximod or Placebo Plus Pembrolizumab or Nivolumab for Subjects With Unresectable or Metastatic Melanoma,Recruiting,No Results Available,Drug: Pembrolizumab|Drug: Nivolumab|Drug: Indoximod|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03301636
NCT03126461,SAbR Plus Ipilimumab Plus Nivolumab in Metastatic Melanoma Patients,Withdrawn,No Results Available,Radiation: SAbR|Drug: Ipilimumab|Drug: Nivolumab,All,"18 Years to 99 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03126461
NCT03356470,Pilot Study of Biomarkers of Response to Immune Checkpoint Blockade in Metastatic Melanoma,Enrolling by invitation,No Results Available,Other: F-FDG PET/CT,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03356470
NCT02437305,Melanoma Perception and Health Literacy in People of Color,Completed,Has Results,Behavioral: ABCDEs of Melanoma Skin Cancer|Behavioral: ABCDEs of Melanoma,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02437305
NCT02403778,Ipilimumab and All-Trans Retinoic Acid Combination Treatment of Advanced Melanoma,"Active, not recruiting",No Results Available,Drug: VESANOID|Drug: Ipilimumab,All,"18 Years to 89 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02403778
NCT02602756,Study Assessing Two Models of Hypofractionated Protontherapy on Large Choroidal Melanomas,"Active, not recruiting",No Results Available,Radiation: Protontherapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02602756
NCT02752074,A Phase 3 Study of Pembrolizumab + Epacadostat or Placebo in Subjects With Unresectable or Metastatic Melanoma (Keynote-252 / ECHO-301),"Active, not recruiting",No Results Available,Drug: pembrolizumab + epacadostat|Drug: pembrolizumab + placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02752074
NCT02862145,"Pharmacodynamics Study of MRX34, MicroRNA Liposomal Injection in Melanoma Patients With Biopsy Accessible Lesions",Withdrawn,No Results Available,Drug: MRX34|Drug: Dexamethasone,All,"18 Years to 95 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02862145
