snpId,chromosome,position,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,source
rs1000005,21,33060745,,,C0200638,Eosinophil count procedure,phenotype,,Laboratory Procedure,0.7,,2017,2017,1,GWASCAT
rs1000005,21,33060745,,,C0750879,Eosinophil count result,phenotype,,Laboratory or Test Result,0.7,,2017,2017,1,GWASCAT
rs10001106,4,10125817,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,4,GWASDB
rs1000113,5,150860514,0.923,0.036,C0010346,Crohn Disease,disease,C06,Disease or Syndrome,0.84,1,2007,2016,1,GWASCAT;GWASDB
rs10001632,4,10520247,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2013,2013,1,GWASDB
rs10001964,4,9957651,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,3,GWASDB
rs10002082,4,164159753,,,C0018810,heart rate,phenotype,,Clinical Attribute,0.7,,2018,2018,1,GWASCAT
rs10002268,4,55653725,1,0.071,C0152018,Esophageal carcinoma,disease,,Neoplastic Process,0.7,,2011,2011,1,GWASDB
rs1000291485,2,43844563,1,0.107,C0342907,Sitosterolemia,disease,C06;C16;C18,Congenital Abnormality,0.7,,,,0,CLINVAR
rs10002984,4,9679109,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2011,2013,2,GWASDB
rs10003001,4,9982851,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,4,GWASDB
rs10003864,4,10435767,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,3,GWASDB
rs10004195,4,38783103,0.801,0.214,C0020517,Hypersensitivity,group,C20,Pathologic Function,0.7,,2013,2013,1,GWASDB
rs10005067,4,87931491,,,C0005938,Bone Density,phenotype,,Clinical Attribute,0.7,,2018,2018,1,GWASCAT
rs10005684,4,9625273,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2011,2013,2,GWASDB
rs1000579,4,4717767,1,0.071,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.8,,2012,2017,2,GWASCAT;GWASDB
rs1000597,7,30897563,0.923,0.107,C0392525,Nephrolithiasis,disease,C12;C13,Disease or Syndrome,0.82,1,2012,2014,1,GWASCAT;GWASDB
rs10006397,4,10034516,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,4,GWASDB
rs1000662,11,64466347,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2011,2013,2,GWASDB
rs1000668,9,72790943,1,0.036,C0007137,Squamous cell carcinoma,disease,C04,Neoplastic Process,0.7,,2012,2012,1,GWASDB
rs10007052,4,141084419,1,0.036,C0024117,Chronic Obstructive Airway Disease,disease,C08,Disease or Syndrome,0.71,1,2013,2015,1,GWASCAT
rs10007052,4,141084419,1,0.036,C3536958,Surfactant protein D measurement,phenotype,,Laboratory Procedure,0.7,,2013,2013,1,GWASDB
rs10007186,4,78667891,,,C0202202,Protein measurement,group,,Laboratory Procedure,0.7,,2012,2012,1,GWASDB
rs10007469,4,9731119,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2011,2011,1,GWASDB
rs10007754,4,103706285,,,C1314691,Age at menarche,phenotype,,Finding,0.7,,2010,2010,1,GWASDB
rs1000778,11,61887833,,,C0202177,Phospholipid measurement,phenotype,,Laboratory Procedure,0.7,,2011,2011,1,GWASDB
rs1000778,11,61887833,,,C1611184,Calcification of coronary artery,phenotype,,Pathologic Function,0.7,,2012,2012,1,GWASDB
rs1000791,17,79269796,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2016,2016,1,GWASCAT
rs10008035,4,9997711,,,C0202239,Uric acid measurement (procedure),phenotype,,Laboratory Procedure,0.7,,2009,2013,3,GWASDB
